Product_ID,Country,Category,Item_Name,Price_Local,Currency,Technical_Specs,Internal_Notes
NG-K-3001,Nigeria,Kitchen,Double Door Fridge,1794768,NGN,Model: Double Rev-9; Power: 793W; Condition: Refurbished,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 10%; Batch: B-667; Location: Nigeria.
IC-A-3012,Ivory Coast,Automotive,Utility Van,1910810,XOF,Model: Utility Rev-9; Power: 2362W; Condition: New,[OFF-LIMITS] Supplier: GlobalTrade; Margin: 28%; Batch: B-750; Location: Ivory Coast.
IC-F-3013,Ivory Coast,Furniture,Wardrobe Classic,2212955,XOF,Model: Wardrobe Rev-10; Power: 2004W; Condition: New,[OFF-LIMITS] Supplier: GlobalTrade; Margin: 23%; Batch: B-777; Location: Ivory Coast.
IC-E-3014,Ivory Coast,Electronics,Apex Smart Tab,2419281,XOF,Model: Apex Rev-3; Power: 1783W; Condition: Refurbished,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 21%; Batch: B-198; Location: Ivory Coast.
NL-A-3015,Netherlands,Automotive,Luxury Coupe,658,EUR,Model: Luxury Rev-5; Power: 1718W; Condition: Refurbished,[OFF-LIMITS] Supplier: GlobalTrade; Margin: 13%; Batch: B-599; Location: Netherlands.
NG-K-3016,Nigeria,Kitchen,Induction Cooktop,2864087,NGN,Model: Induction Rev-9; Power: 2121W; Condition: New,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 30%; Batch: B-469; Location: Nigeria.
NL-K-3017,Netherlands,Kitchen,EcoVolt Smart Kettle,442,EUR,Model: EcoVolt Rev-9; Power: 157W; Condition: Refurbished,[SECURITY] Supplier: GlobalTrade; Margin: 12%; Batch: B-856; Location: Netherlands.
RW-E-3018,Rwanda,Electronics,Digital Camera 4K,3531740,RWF,Model: Digital Rev-9; Power: 837W; Condition: New,[SECURITY] Supplier: GlobalTrade; Margin: 16%; Batch: B-843; Location: Rwanda.
NG-K-3019,Nigeria,Kitchen,Slow Cooker Digital,1684642,NGN,Model: Slow Rev-6; Power: 181W; Condition: New,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 34%; Batch: B-374; Location: Nigeria.
NL-K-3020,Netherlands,Kitchen,Espresso Machine,2242,EUR,Model: Espresso Rev-3; Power: 502W; Condition: New,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 24%; Batch: B-553; Location: Netherlands.
GH-O-3021,Ghana,Office,Jet Print Pro,15810,GHS,Model: Jet Rev-6; Power: 1265W; Condition: Refurbished,[OFF-LIMITS] Supplier: GlobalTrade; Margin: 32%; Batch: B-600; Location: Ghana.
NG-O-3022,Nigeria,Office,HD Web Camera,337348,NGN,Model: HD Rev-6; Power: 2011W; Condition: New,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 30%; Batch: B-490; Location: Nigeria.
RW-O-3023,Rwanda,Office,Whiteboard Magnetic,3243181,RWF,Model: Whiteboard Rev-5; Power: 1713W; Condition: New,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 2%; Batch: B-659; Location: Rwanda.
UG-E-3024,Uganda,Electronics,Steinberg ProBook X1,18335055,UGX,Model: Steinberg Rev-8; Power: 298W; Condition: Refurbished,[LEGAL] Supplier: GlobalTrade; Margin: 4%; Batch: B-489; Location: Uganda.
ZA-O-3025,South Africa,Office,Mechanical RGB Keyboard,26981,ZAR,Model: Mechanical Rev-5; Power: 1631W; Condition: New,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 23%; Batch: B-207; Location: South Africa.
ZA-K-3026,South Africa,Kitchen,Slow Cooker Digital,56378,ZAR,Model: Slow Rev-9; Power: 1709W; Condition: New,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 17%; Batch: B-130; Location: South Africa.
ZA-O-3027,South Africa,Office,Projector 4K,55118,ZAR,Model: Projector Rev-3; Power: 768W; Condition: Refurbished,[LEGAL] Supplier: GlobalTrade; Margin: 13%; Batch: B-573; Location: South Africa.
UG-K-3028,Uganda,Kitchen,Induction Cooktop,1999101,UGX,Model: Induction Rev-4; Power: 1169W; Condition: Refurbished,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 15%; Batch: B-295; Location: Uganda.
UG-A-3029,Uganda,Automotive,Utility Van,19021515,UGX,Model: Utility Rev-4; Power: 1668W; Condition: Refurbished,[LEGAL] Supplier: GlobalTrade; Margin: 17%; Batch: B-380; Location: Uganda.
NL-A-3030,Netherlands,Automotive,Rapid Diesel Truck,1944,EUR,Model: Rapid Rev-10; Power: 1593W; Condition: Refurbished,[OFF-LIMITS] Supplier: GlobalTrade; Margin: 19%; Batch: B-459; Location: Netherlands.
NL-E-3031,Netherlands,Electronics,Bluetooth Speaker Rugged,1909,EUR,Model: Bluetooth Rev-4; Power: 2238W; Condition: New,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 15%; Batch: B-727; Location: Netherlands.
NL-A-3032,Netherlands,Automotive,Roof Rack Cargo Box,880,EUR,Model: Roof Rev-4; Power: 586W; Condition: Refurbished,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 17%; Batch: B-573; Location: Netherlands.
UG-A-3033,Uganda,Automotive,Roof Rack Cargo Box,14571554,UGX,Model: Roof Rev-10; Power: 623W; Condition: Refurbished,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 20%; Batch: B-271; Location: Uganda.
NG-K-3034,Nigeria,Kitchen,Slow Cooker Digital,2123126,NGN,Model: Slow Rev-9; Power: 1852W; Condition: Refurbished,[OFF-LIMITS] Supplier: GlobalTrade; Margin: 30%; Batch: B-146; Location: Nigeria.
NG-E-3035,Nigeria,Electronics,Apex Smart Tab,160515,NGN,Model: Apex Rev-9; Power: 517W; Condition: New,[SECURITY] Supplier: GlobalTrade; Margin: 31%; Batch: B-188; Location: Nigeria.
NG-F-3036,Nigeria,Furniture,Ergo Office Chair,2831009,NGN,Model: Ergo Rev-8; Power: 1251W; Condition: New,[OFF-LIMITS] Supplier: GlobalTrade; Margin: 7%; Batch: B-874; Location: Nigeria.
RW-O-3037,Rwanda,Office,Scan Elite 50,3663659,RWF,Model: Scan Rev-7; Power: 2170W; Condition: Refurbished,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 2%; Batch: B-409; Location: Rwanda.
NL-F-3038,Netherlands,Furniture,Recliner Armchair,302,EUR,Model: Recliner Rev-7; Power: 1086W; Condition: New,[LEGAL] Supplier: GlobalTrade; Margin: 30%; Batch: B-986; Location: Netherlands.
NL-A-3039,Netherlands,Automotive,Titan SUV,2421,EUR,Model: Titan Rev-7; Power: 2289W; Condition: Refurbished,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 4%; Batch: B-271; Location: Netherlands.
IC-F-3040,Ivory Coast,Furniture,Outdoor Patio Set,2126325,XOF,Model: Outdoor Rev-2; Power: 2394W; Condition: Refurbished,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 33%; Batch: B-242; Location: Ivory Coast.
ZA-F-3041,South Africa,Furniture,King Size Bed Frame,28890,ZAR,Model: King Rev-10; Power: 270W; Condition: Refurbished,[SECURITY] Supplier: GlobalTrade; Margin: 15%; Batch: B-889; Location: South Africa.
CM-E-3042,Cameroon,Electronics,Wireless Noise-Canceling Headphones,2314598,XAF,Model: Wireless Rev-10; Power: 2251W; Condition: New,[OFF-LIMITS] Supplier: GlobalTrade; Margin: 10%; Batch: B-736; Location: Cameroon.
KE-O-3043,Kenya,Office,Jet Print Pro,414250,KES,Model: Jet Rev-10; Power: 2219W; Condition: New,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 16%; Batch: B-843; Location: Kenya.
IN-O-3044,India,Office,Projector 4K,86803,INR,Model: Projector Rev-9; Power: 2173W; Condition: New,[LEGAL] Supplier: GlobalTrade; Margin: 17%; Batch: B-775; Location: India.
KE-O-3045,Kenya,Office,Jet Print Pro,269978,KES,Model: Jet Rev-1; Power: 1532W; Condition: New,[OFF-LIMITS] Supplier: GlobalTrade; Margin: 19%; Batch: B-152; Location: Kenya.
NG-O-3046,Nigeria,Office,Projector 4K,3124851,NGN,Model: Projector Rev-4; Power: 1454W; Condition: Refurbished,[LEGAL] Supplier: GlobalTrade; Margin: 5%; Batch: B-991; Location: Nigeria.
ZA-A-3047,South Africa,Automotive,Roof Rack Cargo Box,38025,ZAR,Model: Roof Rev-6; Power: 510W; Condition: New,[OFF-LIMITS] Supplier: GlobalTrade; Margin: 20%; Batch: B-732; Location: South Africa.
CM-K-3048,Cameroon,Kitchen,Turbo-Blend 500,190596,XAF,Model: Turbo-Blend Rev-10; Power: 2041W; Condition: Refurbished,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 3%; Batch: B-474; Location: Cameroon.
KE-F-3049,Kenya,Furniture,Outdoor Patio Set,290164,KES,Model: Outdoor Rev-6; Power: 1338W; Condition: Refurbished,[OFF-LIMITS] Supplier: GlobalTrade; Margin: 19%; Batch: B-580; Location: Kenya.
IC-E-3050,Ivory Coast,Electronics,Wireless Noise-Canceling Headphones,1523819,XOF,Model: Wireless Rev-10; Power: 1248W; Condition: New,[LEGAL] Supplier: GlobalTrade; Margin: 12%; Batch: B-826; Location: Ivory Coast.
KE-E-3051,Kenya,Electronics,Nova Phone Z,472497,KES,Model: Nova Rev-4; Power: 1123W; Condition: New,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 33%; Batch: B-451; Location: Kenya.
NL-A-3052,Netherlands,Automotive,Titan SUV,2113,EUR,Model: Titan Rev-10; Power: 1672W; Condition: New,[OFF-LIMITS] Supplier: GlobalTrade; Margin: 6%; Batch: B-844; Location: Netherlands.
CM-K-3053,Cameroon,Kitchen,Bread Maker,2139406,XAF,Model: Bread Rev-8; Power: 2069W; Condition: New,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 3%; Batch: B-595; Location: Cameroon.
NL-A-3054,Netherlands,Automotive,Titan SUV,118,EUR,Model: Titan Rev-2; Power: 2282W; Condition: Refurbished,[LEGAL] Supplier: GlobalTrade; Margin: 9%; Batch: B-842; Location: Netherlands.
RW-A-3055,Rwanda,Automotive,Rapid Diesel Truck,2995126,RWF,Model: Rapid Rev-8; Power: 1682W; Condition: Refurbished,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 30%; Batch: B-256; Location: Rwanda.
NG-E-3056,Nigeria,Electronics,Apex Smart Tab,1514949,NGN,Model: Apex Rev-9; Power: 1194W; Condition: Refurbished,[LEGAL] Supplier: GlobalTrade; Margin: 5%; Batch: B-110; Location: Nigeria.
NG-K-3057,Nigeria,Kitchen,EcoVolt Smart Kettle,2583781,NGN,Model: EcoVolt Rev-4; Power: 1615W; Condition: New,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 4%; Batch: B-725; Location: Nigeria.
KE-K-3058,Kenya,Kitchen,Bread Maker,91844,KES,Model: Bread Rev-8; Power: 2259W; Condition: New,[LEGAL] Supplier: GlobalTrade; Margin: 19%; Batch: B-987; Location: Kenya.
RW-K-3059,Rwanda,Kitchen,Turbo-Blend 500,287625,RWF,Model: Turbo-Blend Rev-9; Power: 117W; Condition: Refurbished,[LEGAL] Supplier: GlobalTrade; Margin: 35%; Batch: B-466; Location: Rwanda.
IC-O-3060,Ivory Coast,Office,Vertical Ergonomic Mouse,2072894,XOF,Model: Vertical Rev-10; Power: 904W; Condition: Refurbished,[LEGAL] Supplier: GlobalTrade; Margin: 28%; Batch: B-582; Location: Ivory Coast.
NG-K-3061,Nigeria,Kitchen,Dishwasher Silent,2576628,NGN,Model: Dishwasher Rev-1; Power: 1406W; Condition: Refurbished,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 18%; Batch: B-841; Location: Nigeria.
RW-A-3062,Rwanda,Automotive,Roof Rack Cargo Box,790097,RWF,Model: Roof Rev-2; Power: 651W; Condition: New,[OFF-LIMITS] Supplier: GlobalTrade; Margin: 30%; Batch: B-126; Location: Rwanda.
IN-E-3063,India,Electronics,Gaming Console X,186276,INR,Model: Gaming Rev-4; Power: 1208W; Condition: Refurbished,[OFF-LIMITS] Supplier: GlobalTrade; Margin: 13%; Batch: B-250; Location: India.
NG-K-3064,Nigeria,Kitchen,Espresso Machine,874842,NGN,Model: Espresso Rev-1; Power: 394W; Condition: New,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 25%; Batch: B-909; Location: Nigeria.
CM-F-3065,Cameroon,Furniture,Minimalist Bookshelf,2133664,XAF,Model: Minimalist Rev-3; Power: 750W; Condition: Refurbished,[LEGAL] Supplier: GlobalTrade; Margin: 19%; Batch: B-868; Location: Cameroon.
GH-A-3066,Ghana,Automotive,Roof Rack Cargo Box,14819,GHS,Model: Roof Rev-5; Power: 714W; Condition: Refurbished,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 23%; Batch: B-976; Location: Ghana.
IC-K-3067,Ivory Coast,Kitchen,Turbo-Blend 500,2318681,XOF,Model: Turbo-Blend Rev-8; Power: 2219W; Condition: New,[SECURITY] Supplier: GlobalTrade; Margin: 33%; Batch: B-632; Location: Ivory Coast.
RW-E-3068,Rwanda,Electronics,Steinberg ProBook X1,1837901,RWF,Model: Steinberg Rev-4; Power: 1044W; Condition: Refurbished,[OFF-LIMITS] Supplier: GlobalTrade; Margin: 4%; Batch: B-790; Location: Rwanda.
KE-K-3069,Kenya,Kitchen,Slow Cooker Digital,96730,KES,Model: Slow Rev-6; Power: 1864W; Condition: Refurbished,[LEGAL] Supplier: GlobalTrade; Margin: 22%; Batch: B-120; Location: Kenya.
GH-K-3070,Ghana,Kitchen,Turbo-Blend 500,363,GHS,Model: Turbo-Blend Rev-8; Power: 1388W; Condition: Refurbished,[SECURITY] Supplier: GlobalTrade; Margin: 32%; Batch: B-728; Location: Ghana.
UG-O-3071,Uganda,Office,Paper Shredder,5799873,UGX,Model: Paper Rev-10; Power: 285W; Condition: New,[OFF-LIMITS] Supplier: GlobalTrade; Margin: 32%; Batch: B-513; Location: Uganda.
RW-E-3072,Rwanda,Electronics,4K Ultra Monitor,2992612,RWF,Model: 4K Rev-10; Power: 1280W; Condition: New,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 27%; Batch: B-167; Location: Rwanda.
NG-O-3073,Nigeria,Office,File Cabinet 3-Drawer,738601,NGN,Model: File Rev-4; Power: 2115W; Condition: New,[SECURITY] Supplier: GlobalTrade; Margin: 18%; Batch: B-472; Location: Nigeria.
KE-O-3074,Kenya,Office,HD Web Camera,11074,KES,Model: HD Rev-1; Power: 1388W; Condition: New,[LEGAL] Supplier: GlobalTrade; Margin: 35%; Batch: B-215; Location: Kenya.
ZA-O-3075,South Africa,Office,Jet Print Pro,36550,ZAR,Model: Jet Rev-8; Power: 419W; Condition: Refurbished,[SECURITY] Supplier: GlobalTrade; Margin: 31%; Batch: B-119; Location: South Africa.
ZA-A-3076,South Africa,Automotive,Roof Rack Cargo Box,26071,ZAR,Model: Roof Rev-10; Power: 576W; Condition: New,[SECURITY] Supplier: GlobalTrade; Margin: 33%; Batch: B-888; Location: South Africa.
CM-A-3077,Cameroon,Automotive,Motorcycle Delivery Pro,146626,XAF,Model: Motorcycle Rev-8; Power: 869W; Condition: Refurbished,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 18%; Batch: B-769; Location: Cameroon.
RW-F-3078,Rwanda,Furniture,King Size Bed Frame,1797838,RWF,Model: King Rev-6; Power: 420W; Condition: New,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 9%; Batch: B-548; Location: Rwanda.
UG-K-3079,Uganda,Kitchen,Microwave Oven,5285350,UGX,Model: Microwave Rev-9; Power: 1030W; Condition: Refurbished,[LEGAL] Supplier: GlobalTrade; Margin: 17%; Batch: B-499; Location: Uganda.
KE-A-3080,Kenya,Automotive,Utility Van,467085,KES,Model: Utility Rev-10; Power: 1661W; Condition: New,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 24%; Batch: B-784; Location: Kenya.
GH-E-3081,Ghana,Electronics,Apex Smart Tab,21592,GHS,Model: Apex Rev-5; Power: 271W; Condition: Refurbished,[LEGAL] Supplier: GlobalTrade; Margin: 18%; Batch: B-519; Location: Ghana.
NL-A-3082,Netherlands,Automotive,Motorcycle Delivery Pro,2106,EUR,Model: Motorcycle Rev-7; Power: 1673W; Condition: Refurbished,[LEGAL] Supplier: GlobalTrade; Margin: 30%; Batch: B-346; Location: Netherlands.
UG-E-3083,Uganda,Electronics,Digital Camera 4K,19356366,UGX,Model: Digital Rev-3; Power: 1353W; Condition: New,[LEGAL] Supplier: GlobalTrade; Margin: 33%; Batch: B-469; Location: Uganda.
IC-O-3084,Ivory Coast,Office,Whiteboard Magnetic,484987,XOF,Model: Whiteboard Rev-2; Power: 149W; Condition: New,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 20%; Batch: B-581; Location: Ivory Coast.
GH-E-3085,Ghana,Electronics,Digital Camera 4K,23801,GHS,Model: Digital Rev-1; Power: 2062W; Condition: New,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 3%; Batch: B-983; Location: Ghana.
KE-E-3086,Kenya,Electronics,Steinberg ProBook X1,198820,KES,Model: Steinberg Rev-10; Power: 502W; Condition: Refurbished,[SECURITY] Supplier: GlobalTrade; Margin: 21%; Batch: B-518; Location: Kenya.
UG-A-3087,Uganda,Automotive,Utility Van,13008191,UGX,Model: Utility Rev-4; Power: 228W; Condition: Refurbished,[SECURITY] Supplier: GlobalTrade; Margin: 14%; Batch: B-574; Location: Uganda.
CM-K-3088,Cameroon,Kitchen,Bread Maker,814509,XAF,Model: Bread Rev-5; Power: 275W; Condition: New,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 31%; Batch: B-325; Location: Cameroon.
CM-A-3089,Cameroon,Automotive,Rapid Diesel Truck,555488,XAF,Model: Rapid Rev-3; Power: 2361W; Condition: New,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 16%; Batch: B-123; Location: Cameroon.
KE-K-3090,Kenya,Kitchen,Espresso Machine,382193,KES,Model: Espresso Rev-1; Power: 1540W; Condition: New,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 35%; Batch: B-559; Location: Kenya.
NG-K-3091,Nigeria,Kitchen,Double Door Fridge,1556432,NGN,Model: Double Rev-1; Power: 2258W; Condition: New,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 22%; Batch: B-938; Location: Nigeria.
RW-O-3092,Rwanda,Office,HD Web Camera,90005,RWF,Model: HD Rev-3; Power: 1735W; Condition: New,[SECURITY] Supplier: GlobalTrade; Margin: 24%; Batch: B-982; Location: Rwanda.
KE-F-3093,Kenya,Furniture,Recliner Armchair,100455,KES,Model: Recliner Rev-7; Power: 504W; Condition: Refurbished,[OFF-LIMITS] Supplier: GlobalTrade; Margin: 18%; Batch: B-447; Location: Kenya.
NG-A-3094,Nigeria,Automotive,Utility Van,1451770,NGN,Model: Utility Rev-9; Power: 2148W; Condition: Refurbished,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 19%; Batch: B-879; Location: Nigeria.
IN-K-3095,India,Kitchen,Bread Maker,172581,INR,Model: Bread Rev-6; Power: 1981W; Condition: Refurbished,[LEGAL] Supplier: GlobalTrade; Margin: 10%; Batch: B-139; Location: India.
CM-F-3096,Cameroon,Furniture,Comfort Sofa,1285426,XAF,Model: Comfort Rev-6; Power: 2332W; Condition: Refurbished,[LEGAL] Supplier: GlobalTrade; Margin: 20%; Batch: B-725; Location: Cameroon.
KE-F-3097,Kenya,Furniture,Coffee Table Glass,218168,KES,Model: Coffee Rev-1; Power: 1418W; Condition: Refurbished,[SECURITY] Supplier: GlobalTrade; Margin: 5%; Batch: B-265; Location: Kenya.
RW-A-3098,Rwanda,Automotive,All-Terrain 4x4,3530009,RWF,Model: All-Terrain Rev-10; Power: 1521W; Condition: Refurbished,[LEGAL] Supplier: GlobalTrade; Margin: 29%; Batch: B-471; Location: Rwanda.
NG-A-3099,Nigeria,Automotive,Utility Van,2805938,NGN,Model: Utility Rev-2; Power: 2213W; Condition: New,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 19%; Batch: B-858; Location: Nigeria.
RW-K-3100,Rwanda,Kitchen,Double Door Fridge,1164772,RWF,Model: Double Rev-7; Power: 348W; Condition: Refurbished,[SECURITY] Supplier: GlobalTrade; Margin: 13%; Batch: B-690; Location: Rwanda.
NL-E-3101,Netherlands,Electronics,Wireless Noise-Canceling Headphones,2433,EUR,Model: Wireless Rev-3; Power: 268W; Condition: Refurbished,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 27%; Batch: B-416; Location: Netherlands.
KE-E-3102,Kenya,Electronics,Nova Phone Z,43565,KES,Model: Nova Rev-3; Power: 2025W; Condition: New,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 4%; Batch: B-759; Location: Kenya.
GH-E-3103,Ghana,Electronics,Steinberg ProBook X1,29041,GHS,Model: Steinberg Rev-4; Power: 2246W; Condition: New,[LEGAL] Supplier: GlobalTrade; Margin: 8%; Batch: B-986; Location: Ghana.
GH-K-3104,Ghana,Kitchen,Slow Cooker Digital,27643,GHS,Model: Slow Rev-9; Power: 452W; Condition: New,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 18%; Batch: B-433; Location: Ghana.
KE-K-3105,Kenya,Kitchen,Espresso Machine,465241,KES,Model: Espresso Rev-8; Power: 706W; Condition: New,[OFF-LIMITS] Supplier: GlobalTrade; Margin: 28%; Batch: B-125; Location: Kenya.
ZA-K-3106,South Africa,Kitchen,Dishwasher Silent,52484,ZAR,Model: Dishwasher Rev-3; Power: 1507W; Condition: New,[SECURITY] Supplier: GlobalTrade; Margin: 5%; Batch: B-380; Location: South Africa.
NL-K-3107,Netherlands,Kitchen,Microwave Oven,879,EUR,Model: Microwave Rev-5; Power: 507W; Condition: Refurbished,[LEGAL] Supplier: GlobalTrade; Margin: 19%; Batch: B-592; Location: Netherlands.
NL-E-3108,Netherlands,Electronics,Smart Watch Elite,21,EUR,Model: Smart Rev-9; Power: 1451W; Condition: Refurbished,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 30%; Batch: B-719; Location: Netherlands.
NL-E-3109,Netherlands,Electronics,Steinberg ProBook X1,1899,EUR,Model: Steinberg Rev-8; Power: 1407W; Condition: Refurbished,[SECURITY] Supplier: GlobalTrade; Margin: 21%; Batch: B-342; Location: Netherlands.
NG-K-3110,Nigeria,Kitchen,Dishwasher Silent,1851956,NGN,Model: Dishwasher Rev-9; Power: 2052W; Condition: New,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 27%; Batch: B-546; Location: Nigeria.
NL-E-3111,Netherlands,Electronics,Steinberg ProBook X1,1715,EUR,Model: Steinberg Rev-10; Power: 2108W; Condition: New,[LEGAL] Supplier: GlobalTrade; Margin: 8%; Batch: B-584; Location: Netherlands.
IN-A-3112,India,Automotive,City Hybrid Compact,70484,INR,Model: City Rev-5; Power: 927W; Condition: Refurbished,[OFF-LIMITS] Supplier: GlobalTrade; Margin: 21%; Batch: B-941; Location: India.
KE-A-3113,Kenya,Automotive,Roof Rack Cargo Box,302402,KES,Model: Roof Rev-8; Power: 163W; Condition: New,[OFF-LIMITS] Supplier: GlobalTrade; Margin: 9%; Batch: B-683; Location: Kenya.
ZA-F-3114,South Africa,Furniture,Ergo Office Chair,41878,ZAR,Model: Ergo Rev-7; Power: 1846W; Condition: New,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 9%; Batch: B-164; Location: South Africa.
RW-F-3115,Rwanda,Furniture,Comfort Sofa,142851,RWF,Model: Comfort Rev-4; Power: 1092W; Condition: Refurbished,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 11%; Batch: B-102; Location: Rwanda.
NL-A-3116,Netherlands,Automotive,Roof Rack Cargo Box,36,EUR,Model: Roof Rev-7; Power: 431W; Condition: Refurbished,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 6%; Batch: B-233; Location: Netherlands.
KE-E-3117,Kenya,Electronics,Bluetooth Speaker Rugged,410533,KES,Model: Bluetooth Rev-3; Power: 601W; Condition: New,[SECURITY] Supplier: GlobalTrade; Margin: 33%; Batch: B-692; Location: Kenya.
IN-E-3118,India,Electronics,External SSD 2TB,98605,INR,Model: External Rev-5; Power: 1495W; Condition: Refurbished,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 2%; Batch: B-779; Location: India.
UG-E-3119,Uganda,Electronics,Steinberg ProBook X1,6138441,UGX,Model: Steinberg Rev-7; Power: 143W; Condition: Refurbished,[LEGAL] Supplier: GlobalTrade; Margin: 13%; Batch: B-468; Location: Uganda.
NL-A-3120,Netherlands,Automotive,Volt EV Sedan,2074,EUR,Model: Volt Rev-3; Power: 1003W; Condition: New,[CONFIDENTIAL] Supplier: GlobalTrade; Margin: 3%; Batch: B-334; Location: Netherlands.
KE-K-3121,Kenya,Kitchen,Microwave Oven,228339,KES,Model: Microwave Rev-4; Power: 1227W; Condition: Refurbished,[INTERNAL-ONLY] Supplier: GlobalTrade; Margin: 21%; Batch: B-389; Location: Kenya.
