Product_ID,Country,Category,Item_Name,Price_Local,Currency,Technical_Specs,Internal_Notes
GE-A-0000,Germany,Wearables,Fitness Tracker Band,30.04,EUR,"Steps, sleep, HR, 14-day battery",Margin 22% | Pacific Imports Inc | Fulfilled from NL depot
CA-B-0079,Canada,Home Appliances,Air Purifier Compact,125.49,CAD,"HEPA H13, 3 speeds, 25m² coverage",Margin 22% | Backorder until 02/15 | EuroTech Suppliers
GH-C-0080,Ghana,Lighting,LED Desk Lamp,344.13,GHS,"Dimmable, USB port, 5 brightness levels",Low stock alert | Margin 22% | EuroTech Suppliers
NI-D-0081,Nigeria,Home Appliances,Electric Fan Tower,80980.31,NGN,"Oscillating, 3 speeds, remote, timer",Backorder until 02/15 | EuroTech Suppliers | Bulk discount applies 15%
CA-E-0082,Canada,Computing,"Tablet 10""",265.48,CAD,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Warehouse A-12 | Africa Direct Trading | Margin 22%
GH-F-0083,Ghana,Computing,Mechanical Keyboard,917.61,GHS,"Cherry MX, RGB, wired, UK layout",EuroTech Suppliers | Promo margin 12% | Fulfilled from NL depot
NE-G-0084,Netherlands,Home Appliances,Electric Fan Tower,48.06,EUR,"Oscillating, 3 speeds, remote, timer",VIP margin 25% | Stock in WH3 Berlin | Global Sourcing Co
NI-H-0085,Nigeria,Solar & Power,Solar Inverter TS-9000-X,1857530.34,NGN,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Africa Direct Trading | VIP margin 25% | Backorder until 02/15
SA-I-0086,South Africa,Wearables,Smart Watch Sport,1723.89,ZAR,"GPS, heart rate, 5ATM, 7-day battery",Bulk discount applies 15% | Nordic Wholesale | Fulfilled from NL depot
SA-J-0087,South Africa,Power & Batteries,Portable Power Bank 20K,502.94,ZAR,"20000mAh, dual USB, 18W PD",Promo margin 12% | Warehouse A-12 | Acme Electronics Ltd
CA-K-0088,Canada,Lighting,LED Desk Lamp,38.4,CAD,"Dimmable, USB port, 5 brightness levels",EuroTech Suppliers | VIP margin 25% | Stock in WH3 Berlin
KE-L-0089,Kenya,Kitchen Appliances,Coffee Maker Drip,5381.87,KES,"12-cup, programmable, thermal carafe",Global Sourcing Co | VIP margin 25% | Warehouse A-12
GE-M-0090,Germany,Audio,Bluetooth Speaker,43.46,EUR,"20W, waterproof IPX7, 15h playback",Target margin 18% | Low stock alert | Pacific Imports Inc
NI-N-0091,Nigeria,Home Appliances,Electric Fan Tower,82201.87,NGN,"Oscillating, 3 speeds, remote, timer",Warehouse A-12 | Nordic Wholesale | Bulk discount applies 15%
NI-O-0092,Nigeria,Kitchen Appliances,Coffee Maker Drip,64222.06,NGN,"12-cup, programmable, thermal carafe",Margin 22% | Stock in WH3 Berlin | Africa Direct Trading
GE-P-0093,Germany,Wearables,Fitness Tracker Band,25.4,EUR,"Steps, sleep, HR, 14-day battery",Warehouse A-12 | VIP margin 25% | EuroTech Suppliers
NI-Q-0094,Nigeria,Solar & Power,Solar Inverter TS-9000-X,1782364.2,NGN,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Pacific Imports Inc | Backorder until 02/15 | Margin 22%
KE-R-0095,Kenya,Audio,Wireless Bluetooth Earbuds,4921.18,KES,"ANC, 24h battery, IPX5, USB-C",Bulk discount applies 15% | Nordic Wholesale | Low stock alert
GH-S-0096,Ghana,Kitchen Appliances,Coffee Maker Drip,539.93,GHS,"12-cup, programmable, thermal carafe",Nordic Wholesale | Bulk discount applies 15% | Fulfilled from NL depot
SA-T-0097,South Africa,Kitchen Appliances,Coffee Maker Drip,698.55,ZAR,"12-cup, programmable, thermal carafe",Promo margin 12% | EuroTech Suppliers | Low stock alert
KE-U-0098,Kenya,Computing,Webcam HD Pro,6975.1,KES,"1080p 60fps, built-in mic, auto-focus",Warehouse A-12 | EuroTech Suppliers | Bulk discount applies 15%
FR-V-0099,France,Home Appliances,Air Purifier Compact,90.37,EUR,"HEPA H13, 3 speeds, 25m² coverage",Pacific Imports Inc | Margin 22% | Backorder until 02/15
NI-W-0100,Nigeria,Kitchen Appliances,Coffee Maker Drip,59182.36,NGN,"12-cup, programmable, thermal carafe",Promo margin 12% | Backorder until 02/15 | EuroTech Suppliers
GH-X-0101,Ghana,Home Appliances,Electric Fan Tower,694.44,GHS,"Oscillating, 3 speeds, remote, timer",Acme Electronics Ltd | Bulk discount applies 15% | Stock in WH3 Berlin
NI-Y-0102,Nigeria,Computing,Mechanical Keyboard,126773.33,NGN,"Cherry MX, RGB, wired, UK layout",Margin 22% | Backorder until 02/15 | Nordic Wholesale
NE-Z-0103,Netherlands,Audio,Bluetooth Speaker,48.11,EUR,"20W, waterproof IPX7, 15h playback",EuroTech Suppliers | Promo margin 12% | Fulfilled from NL depot
SA-A-0104,South Africa,Audio,Bluetooth Speaker,913.48,ZAR,"20W, waterproof IPX7, 15h playback",EuroTech Suppliers | Bulk discount applies 15% | Fulfilled from NL depot
GE-B-0105,Germany,Wearables,Smart Watch Sport,91.86,EUR,"GPS, heart rate, 5ATM, 7-day battery",Africa Direct Trading | Target margin 18% | Low stock alert
CA-C-0106,Canada,Home Appliances,Electric Fan Tower,75.18,CAD,"Oscillating, 3 speeds, remote, timer",Low stock alert | Promo margin 12% | EuroTech Suppliers
KE-D-0107,Kenya,Power & Batteries,Portable Power Bank 20K,3483.93,KES,"20000mAh, dual USB, 18W PD",Pacific Imports Inc | Warehouse A-12 | Margin 22%
NI-E-0108,Nigeria,Audio,Wireless Bluetooth Earbuds,59001.15,NGN,"ANC, 24h battery, IPX5, USB-C",Global Sourcing Co | VIP margin 25% | Fulfilled from NL depot
KE-F-0109,Kenya,Solar & Power,Solar Inverter TS-9000-X,150617.95,KES,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Nordic Wholesale | Fulfilled from NL depot | Promo margin 12%
GE-G-0110,Germany,Wearables,Fitness Tracker Band,29.36,EUR,"Steps, sleep, HR, 14-day battery",Fulfilled from NL depot | VIP margin 25% | Pacific Imports Inc
UK-H-0111,United Kingdom,Computing,"Tablet 10""",174.64,GBP,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Global Sourcing Co | Fulfilled from NL depot | Margin 22%
US-I-0112,United States,Home Appliances,Electric Fan Tower,54.98,USD,"Oscillating, 3 speeds, remote, timer",Margin 22% | Acme Electronics Ltd | Low stock alert
GH-J-0113,Ghana,Personal Care,Electric Toothbrush,561.41,GHS,"Sonic, 3 modes, 2-week battery",Fulfilled from NL depot | Pacific Imports Inc | Promo margin 12%
UK-K-0114,United Kingdom,Wearables,Fitness Tracker Band,23.54,GBP,"Steps, sleep, HR, 14-day battery",Bulk discount applies 15% | Africa Direct Trading | Low stock alert
NI-L-0115,Nigeria,Home Appliances,Electric Fan Tower,89440.56,NGN,"Oscillating, 3 speeds, remote, timer",Margin 22% | Pacific Imports Inc | Low stock alert
GH-M-0116,Ghana,Audio,Bluetooth Speaker,665.67,GHS,"20W, waterproof IPX7, 15h playback",Promo margin 12% | Nordic Wholesale | Stock in WH3 Berlin
KE-N-0117,Kenya,Kitchen Appliances,Coffee Maker Drip,5536.3,KES,"12-cup, programmable, thermal carafe",Promo margin 12% | Africa Direct Trading | Stock in WH3 Berlin
UK-O-0118,United Kingdom,Audio,Bluetooth Speaker,43.21,GBP,"20W, waterproof IPX7, 15h playback",Nordic Wholesale | Margin 22% | Stock in WH3 Berlin
KE-P-0119,Kenya,Computing,Webcam HD Pro,7103.24,KES,"1080p 60fps, built-in mic, auto-focus",Nordic Wholesale | VIP margin 25% | Warehouse A-12
GH-Q-0120,Ghana,Power & Batteries,Portable Power Bank 20K,329.78,GHS,"20000mAh, dual USB, 18W PD",Low stock alert | Global Sourcing Co | Margin 22%
FR-R-0121,France,Power & Batteries,Portable Power Bank 20K,22.72,EUR,"20000mAh, dual USB, 18W PD",Margin 22% | Pacific Imports Inc | Backorder until 02/15
SA-S-0122,South Africa,Kitchen Appliances,Coffee Maker Drip,687.4,ZAR,"12-cup, programmable, thermal carafe",Acme Electronics Ltd | Bulk discount applies 15% | Warehouse A-12
CA-T-0123,Canada,Audio,Wireless Bluetooth Earbuds,47.81,CAD,"ANC, 24h battery, IPX5, USB-C",Bulk discount applies 15% | Acme Electronics Ltd | Backorder until 02/15
GH-U-0124,Ghana,Solar & Power,Solar Inverter TS-9000-X,16911.77,GHS,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",EuroTech Suppliers | Warehouse A-12 | Target margin 18%
GE-V-0125,Germany,Wearables,Fitness Tracker Band,30.36,EUR,"Steps, sleep, HR, 14-day battery",Promo margin 12% | EuroTech Suppliers | Low stock alert
UK-W-0126,United Kingdom,Power & Batteries,Portable Power Bank 20K,19.41,GBP,"20000mAh, dual USB, 18W PD",Bulk discount applies 15% | Backorder until 02/15 | Global Sourcing Co
US-X-0127,United States,Wearables,Fitness Tracker Band,30.09,USD,"Steps, sleep, HR, 14-day battery",Low stock alert | Acme Electronics Ltd | VIP margin 25%
GE-Y-0128,Germany,Wearables,Fitness Tracker Band,27.07,EUR,"Steps, sleep, HR, 14-day battery",Margin 22% | Low stock alert | Global Sourcing Co
NE-Z-0129,Netherlands,Home Appliances,Electric Fan Tower,53.21,EUR,"Oscillating, 3 speeds, remote, timer",Low stock alert | Target margin 18% | Acme Electronics Ltd
FR-A-0130,France,Home Appliances,Electric Fan Tower,53.1,EUR,"Oscillating, 3 speeds, remote, timer",Pacific Imports Inc | Margin 22% | Stock in WH3 Berlin
GE-B-0131,Germany,Power & Batteries,Portable Power Bank 20K,23.69,EUR,"20000mAh, dual USB, 18W PD",VIP margin 25% | Global Sourcing Co | Fulfilled from NL depot
UK-C-0132,United Kingdom,Personal Care,Electric Toothbrush,33.13,GBP,"Sonic, 3 modes, 2-week battery",Africa Direct Trading | Target margin 18% | Stock in WH3 Berlin
GE-D-0133,Germany,Solar & Power,Solar Inverter TS-9000-X,1105.14,EUR,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Target margin 18% | Backorder until 02/15 | Global Sourcing Co
NI-E-0134,Nigeria,Computing,Mechanical Keyboard,118296.53,NGN,"Cherry MX, RGB, wired, UK layout",Warehouse A-12 | Acme Electronics Ltd | Margin 22%
KE-F-0135,Kenya,Kitchen Appliances,Smart Kettle Pro,5735.51,KES,"1.7L, 3000W, boil-dry protection, LED display",Target margin 18% | Fulfilled from NL depot | Global Sourcing Co
KE-G-0136,Kenya,Lighting,LED Desk Lamp,3658.76,KES,"Dimmable, USB port, 5 brightness levels",Backorder until 02/15 | EuroTech Suppliers | Bulk discount applies 15%
GE-H-0137,Germany,Computing,"Tablet 10""",190.81,EUR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Nordic Wholesale | Low stock alert | Target margin 18%
SA-I-0138,South Africa,Wearables,Smart Watch Sport,1789.51,ZAR,"GPS, heart rate, 5ATM, 7-day battery",Low stock alert | Global Sourcing Co | Promo margin 12%
NE-J-0139,Netherlands,Computing,"Tablet 10""",201.51,EUR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Global Sourcing Co | Warehouse A-12 | Promo margin 12%
NI-K-0140,Nigeria,Computing,Webcam HD Pro,83871.66,NGN,"1080p 60fps, built-in mic, auto-focus",Acme Electronics Ltd | Fulfilled from NL depot | Bulk discount applies 15%
GH-L-0141,Ghana,Personal Care,Electric Toothbrush,566.07,GHS,"Sonic, 3 modes, 2-week battery",Africa Direct Trading | Warehouse A-12 | VIP margin 25%
CA-M-0142,Canada,Computing,Webcam HD Pro,80.95,CAD,"1080p 60fps, built-in mic, auto-focus",Margin 22% | Warehouse A-12 | Acme Electronics Ltd
GE-N-0143,Germany,Home Appliances,Electric Fan Tower,48.45,EUR,"Oscillating, 3 speeds, remote, timer",Pacific Imports Inc | Fulfilled from NL depot | Promo margin 12%
SA-O-0144,South Africa,Lighting,LED Desk Lamp,510.84,ZAR,"Dimmable, USB port, 5 brightness levels",Pacific Imports Inc | Stock in WH3 Berlin | Promo margin 12%
NI-P-0145,Nigeria,Home Appliances,Electric Fan Tower,78168.21,NGN,"Oscillating, 3 speeds, remote, timer",Promo margin 12% | Stock in WH3 Berlin | Global Sourcing Co
KE-Q-0146,Kenya,Audio,Wireless Bluetooth Earbuds,5098.3,KES,"ANC, 24h battery, IPX5, USB-C",Acme Electronics Ltd | Target margin 18% | Warehouse A-12
UK-R-0147,United Kingdom,Lighting,LED Desk Lamp,24.86,GBP,"Dimmable, USB port, 5 brightness levels",Africa Direct Trading | Promo margin 12% | Backorder until 02/15
KE-S-0148,Kenya,Power & Batteries,Portable Power Bank 20K,3470.17,KES,"20000mAh, dual USB, 18W PD",Fulfilled from NL depot | Promo margin 12% | Africa Direct Trading
KE-T-0149,Kenya,Audio,Wireless Bluetooth Earbuds,4841.32,KES,"ANC, 24h battery, IPX5, USB-C",Global Sourcing Co | Backorder until 02/15 | VIP margin 25%
SA-U-0150,South Africa,Kitchen Appliances,Smart Kettle Pro,931.18,ZAR,"1.7L, 3000W, boil-dry protection, LED display",Fulfilled from NL depot | Pacific Imports Inc | Promo margin 12%
NI-V-0151,Nigeria,Home Appliances,Electric Fan Tower,87995.71,NGN,"Oscillating, 3 speeds, remote, timer",Margin 22% | Pacific Imports Inc | Backorder until 02/15
US-W-0152,United States,Solar & Power,Solar Inverter TS-9000-X,1217.1,USD,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Stock in WH3 Berlin | Nordic Wholesale | Margin 22%
NE-X-0153,Netherlands,Wearables,Fitness Tracker Band,29.9,EUR,"Steps, sleep, HR, 14-day battery",Warehouse A-12 | Nordic Wholesale | Margin 22%
