Product_ID,Country,Category,Item_Name,Price_Local,Currency,Technical_Specs,Internal_Notes
NI-A-0000,Nigeria,Kitchen Appliances,Smart Kettle Pro,69028.1,NGN,"1.7L, 3000W, boil-dry protection, LED display",Nordic Wholesale | Promo margin 12% | Backorder until 02/15
UK-T-0123,United Kingdom,Kitchen Appliances,Smart Kettle Pro,35.84,GBP,"1.7L, 3000W, boil-dry protection, LED display",Target margin 18% | EuroTech Suppliers | Fulfilled from NL depot
NE-U-0124,Netherlands,Computing,Mechanical Keyboard,70.44,EUR,"Cherry MX, RGB, wired, UK layout",Promo margin 12% | Africa Direct Trading | Low stock alert
NE-V-0125,Netherlands,Home Appliances,Air Purifier Compact,96.77,EUR,"HEPA H13, 3 speeds, 25m² coverage",Margin 22% | Global Sourcing Co | Backorder until 02/15
CD-W-0126,Côte d'Ivoire,Kitchen Appliances,Smart Kettle Pro,30441.88,XOF,"1.7L, 3000W, boil-dry protection, LED display",Bulk discount applies 15% | Stock in WH3 Berlin | Pacific Imports Inc
FR-X-0127,France,Wearables,Smart Watch Sport,87.57,EUR,"GPS, heart rate, 5ATM, 7-day battery",Bulk discount applies 15% | Acme Electronics Ltd | Low stock alert
CD-Y-0128,Côte d'Ivoire,Kitchen Appliances,Coffee Maker Drip,23363.15,XOF,"12-cup, programmable, thermal carafe",Acme Electronics Ltd | Margin 22% | Low stock alert
US-Z-0129,United States,Kitchen Appliances,Smart Kettle Pro,46.28,USD,"1.7L, 3000W, boil-dry protection, LED display",Africa Direct Trading | Warehouse A-12 | Target margin 18%
CD-A-0130,Côte d'Ivoire,Wearables,Smart Watch Sport,51404.81,XOF,"GPS, heart rate, 5ATM, 7-day battery",Stock in WH3 Berlin | Margin 22% | Africa Direct Trading
CA-B-0131,Canada,Wearables,Fitness Tracker Band,42.4,CAD,"Steps, sleep, HR, 14-day battery",Low stock alert | Bulk discount applies 15% | Acme Electronics Ltd
NI-C-0132,Nigeria,Solar & Power,Solar Inverter TS-9000-X,1943390.33,NGN,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",EuroTech Suppliers | Target margin 18% | Backorder until 02/15
NI-D-0133,Nigeria,Lighting,LED Desk Lamp,49123.64,NGN,"Dimmable, USB port, 5 brightness levels",Backorder until 02/15 | Target margin 18% | Pacific Imports Inc
UK-E-0134,United Kingdom,Audio,Bluetooth Speaker,38.24,GBP,"20W, waterproof IPX7, 15h playback",Bulk discount applies 15% | EuroTech Suppliers | Low stock alert
NE-F-0135,Netherlands,Wearables,Fitness Tracker Band,26.36,EUR,"Steps, sleep, HR, 14-day battery",Bulk discount applies 15% | Acme Electronics Ltd | Stock in WH3 Berlin
UK-G-0136,United Kingdom,Wearables,Fitness Tracker Band,25.81,GBP,"Steps, sleep, HR, 14-day battery",EuroTech Suppliers | Bulk discount applies 15% | Warehouse A-12
NI-H-0137,Nigeria,Computing,Mechanical Keyboard,116656.94,NGN,"Cherry MX, RGB, wired, UK layout",Africa Direct Trading | Fulfilled from NL depot | Margin 22%
CA-I-0138,Canada,Audio,Bluetooth Speaker,65.77,CAD,"20W, waterproof IPX7, 15h playback",Stock in WH3 Berlin | Africa Direct Trading | VIP margin 25%
UK-J-0139,United Kingdom,Computing,Webcam HD Pro,48.78,GBP,"1080p 60fps, built-in mic, auto-focus",Acme Electronics Ltd | Bulk discount applies 15% | Fulfilled from NL depot
GH-K-0140,Ghana,Solar & Power,Solar Inverter TS-9000-X,15385.61,GHS,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Low stock alert | Promo margin 12% | Global Sourcing Co
GE-L-0141,Germany,Lighting,LED Desk Lamp,29.31,EUR,"Dimmable, USB port, 5 brightness levels",Margin 22% | Nordic Wholesale | Fulfilled from NL depot
FR-M-0142,France,Solar & Power,Solar Inverter TS-9000-X,1102.69,EUR,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Low stock alert | VIP margin 25% | Africa Direct Trading
KE-N-0143,Kenya,Wearables,Fitness Tracker Band,3583.13,KES,"Steps, sleep, HR, 14-day battery",Africa Direct Trading | Margin 22% | Warehouse A-12
KE-O-0144,Kenya,TV & Display,LED TV 55 inch,56456.4,KES,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Stock in WH3 Berlin | Nordic Wholesale | Target margin 18%
GH-P-0145,Ghana,Audio,Bluetooth Speaker,598.33,GHS,"20W, waterproof IPX7, 15h playback",EuroTech Suppliers | Fulfilled from NL depot | VIP margin 25%
CD-Q-0146,Côte d'Ivoire,Solar & Power,Solar Inverter TS-9000-X,708694.37,XOF,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Bulk discount applies 15% | Pacific Imports Inc | Warehouse A-12
NE-R-0147,Netherlands,Kitchen Appliances,Smart Kettle Pro,47.55,EUR,"1.7L, 3000W, boil-dry protection, LED display",Africa Direct Trading | Bulk discount applies 15% | Fulfilled from NL depot
KE-S-0148,Kenya,TV & Display,LED TV 55 inch,65832.4,KES,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Bulk discount applies 15% | Global Sourcing Co | Low stock alert
US-T-0149,United States,Audio,Wireless Bluetooth Earbuds,35.95,USD,"ANC, 24h battery, IPX5, USB-C",Target margin 18% | Nordic Wholesale | Low stock alert
SA-U-0150,South Africa,Audio,Bluetooth Speaker,936.72,ZAR,"20W, waterproof IPX7, 15h playback",Low stock alert | Target margin 18% | Nordic Wholesale
